simnum,ntimes,family,var,ests,lower,upper
1,4,crude,pfs,0.116,0.08199160692455616,0.16163076708794524
1,4,crude,prog,0.54,0.4780800855664607,0.6007092504739038
1,4,crude,die_wprog,0.336,0.28032294705210725,0.39664077518239854
1,4,crude,die_noprog,0.344,0.28787477716960375,0.4048468122729748
1,4,crude,rmpfst,0.5075342331253082,0.46913293325962885,0.5459355329909876
1,4,crude,time2prog_gprog,0.4454224276139835,0.40819319301033186,0.4826516622176351
1,4,crude,time2prog_all,0.7382393858337999,0.6996831259224267,0.7767956457451731
1,4,crude,illnessdur,0.2476183476732203,0.20763035384338413,0.2876063415030565
2,4,crude,pfs,0.1,0.06865492898829106,0.14345171060806458
2,4,crude,prog,0.504,0.44243266713452395,0.5654462664695125
2,4,crude,die_wprog,0.336,0.28032294705210725,0.39664077518239854
2,4,crude,die_noprog,0.396,0.33738981084356817,0.45775791545148425
2,4,crude,rmpfst,0.48841906085704395,0.4515347767342198,0.5253033449798681
2,4,crude,time2prog_gprog,0.41674219718805755,0.38001476993773503,0.45346962443838007
2,4,crude,time2prog_all,0.7270353482840106,0.6870733413826542,0.766997355185367
2,4,crude,illnessdur,0.27382164126789665,0.2328913929965675,0.31475188953922584
3,4,crude,pfs,0.048,0.027668201530694606,0.08201230121318727
3,4,crude,prog,0.556,0.4940249224564253,0.616280148000085
3,4,crude,die_wprog,0.344,0.28787477716960375,0.4048468122729748
3,4,crude,die_noprog,0.396,0.33738981084356817,0.45775791545148425
3,4,crude,rmpfst,0.4938649470783836,0.45898460712166167,0.5287452870351055
3,4,crude,time2prog_gprog,0.46695893639172875,0.4303270978298046,0.5035907749536529
3,4,crude,time2prog_all,0.7313473039414309,0.6935013457883549,0.7691932620945069
3,4,crude,illnessdur,0.2981796768122238,0.25597104775242335,0.34038830587202423
4,4,crude,pfs,0.1,0.06865492898829106,0.14345171060806458
4,4,crude,prog,0.524,0.46219788800433054,0.5850757136198882
4,4,crude,die_wprog,0.356,0.29923625944437476,0.41712213081031313
4,4,crude,die_noprog,0.376,0.31825978130242794,0.4374932769724422
4,4,crude,rmpfst,0.5118979983121101,0.4744279161350868,0.5493680804891334
4,4,crude,time2prog_gprog,0.47685303216159186,0.4385665346947316,0.5151395296284521
4,4,crude,time2prog_all,0.7447042796948566,0.7072895921748534,0.7821189672148599
4,4,crude,illnessdur,0.22115837014816297,0.18210793992187524,0.2602088003744507
5,4,crude,pfs,0.056,0.03364764921901089,0.09179072073294389
5,4,crude,prog,0.532,0.47013118515223484,0.5929002836800568
5,4,crude,die_wprog,0.332,0.2765538920259373,0.39253089660453205
5,4,crude,die_noprog,0.412,0.35276848978585706,0.47389497092534105
5,4,crude,rmpfst,0.47952509262590176,0.44462373158344526,0.5144264536683583
5,4,crude,time2prog_gprog,0.4739778588759637,0.43861697701820324,0.5093387407337242
5,4,crude,time2prog_all,0.7433011951314701,0.7064212672772762,0.780181122985664
5,4,crude,illnessdur,0.2801220547381276,0.24049658815071973,0.3197475213255355
6,4,crude,pfs,0.08,0.052382328372331775,0.12032964320384165
6,4,crude,prog,0.536,0.4741036818936376,0.5968067205426905
6,4,crude,die_wprog,0.352,0.2954446480491309,0.41303480860152053
6,4,crude,die_noprog,0.384,0.325899194520949,0.4456117309619941
6,4,crude,rmpfst,0.49424811361493437,0.4566533297721995,0.5318428974576692
6,4,crude,time2prog_gprog,0.4400686446769036,0.40447115808447837,0.47566613126932883
6,4,crude,time2prog_all,0.728993224023621,0.6902628502098752,0.7677235978373668
6,4,crude,illnessdur,0.2740453360472969,0.23034876400863497,0.31774190808595887
7,4,crude,pfs,0.08,0.052382328372331775,0.12032964320384165
7,4,crude,prog,0.568,0.5060249967174062,0.6279168745512133
7,4,crude,die_wprog,0.368,0.3106374013678842,0.42935778969891303
7,4,crude,die_noprog,0.352,0.2954446480491309,0.41303480860152053
7,4,crude,rmpfst,0.4754016583579902,0.4405475407402798,0.5102557759757006
7,4,crude,time2prog_gprog,0.4037231273619476,0.37083021806010785,0.43661603666378734
7,4,crude,time2prog_all,0.6899360262282124,0.6492391213844158,0.730632931072009
7,4,crude,illnessdur,0.2964574517860108,0.2540513902190943,0.3388635133529273
8,4,crude,pfs,0.1,0.06865492898829106,0.14345171060806458
8,4,crude,prog,0.532,0.47013118515223484,0.5929002836800568
8,4,crude,die_wprog,0.336,0.28032294705210725,0.39664077518239854
8,4,crude,die_noprog,0.368,0.3106374013678842,0.42935778969891303
