seed,nulleff,cens,var,est,lower,upper
1,1,3,Pr(Infec. | Plac.),0.7175,0.6853201271380999,0.7476010617124311
1,1,3,Pr(Infec. | mAb),0.3,0.26926228206818986,0.3326492684140806
1,1,3,Pr(Sympt. | Plac.),0.4175,0.38380102828101387,0.45198748629292274
1,1,3,Pr(Sympt. | mAb),0.11375,0.09356926336901233,0.13762241849987242
1,1,3,Pr(Asympt. | Plac.),0.3,0.26926228206818986,0.3326492684140806
1,1,3,Pr(Asympt. | mAb),0.18625,0.1607949836100948,0.21470376120896695
1,1,3,"Pr(Sympt. | Infec., Plac.)",0.5818815331010453,0.5411164097490542,0.6215579684304604
1,1,3,"Pr(Sympt. | Infec., mAb)",0.37916666666666665,0.3201433787992415,0.44199715185330185
1,1,3,"Pr(Asympt. | Infec., Plac.)",0.4181184668989547,0.3784420315695395,0.4588835902509458
1,1,3,"Pr(Asympt. | Infec., mAb)",0.6208333333333333,0.5580028481466982,0.6798566212007585
1,1,3,"Pr(N+ | Infec., Plac.)",0.7613240418118467,0.7247871375439218,0.7943864098375076
1,1,3,"Pr(N+ | Infec., mAb)",0.49166666666666664,0.4290492186818604,0.5545466799838321
1,1,3,"Pr(N+ | sympt., Plac.)",0.8413173652694611,0.7982820151508128,0.8765907514891415
1,1,3,"Pr(N+ | sympt., mAb)",0.6703296703296703,0.5685702786797696,0.7582909947070953
1,1,3,"Pr(N+ | asympt., Plac.)",0.65,0.5877236332505564,0.7075501907669759
1,1,3,"Pr(N+ | asympt., mAb)",0.3825503355704698,0.3083957558221281,0.46260878528827687
1,1,3,PE for infec.,0.5818815331010454,0.5320432311826817,0.6276919507208374
1,1,3,PE for sympt. infec.,0.7275449101796407,0.6645532908141807,0.7794433093306378
1,1,3,PE for asympt. infec.,0.37916666666666665,0.25785773867379247,0.48137360185064415
1,1,3,RR for sympt. | infec.,0.6516217564870259,0.5432222425480606,0.7720999930029728
1,1,3,RR for N+ | infec.,0.6458047292143402,0.5597069316816119,0.7353191447233817
1,1,3,RR for N+ | sympt.,0.7967619569043056,0.6721239823011087,0.9110327536094804
1,1,3,RR for N+ | asympt.,0.5885389778007227,0.4663083487133158,0.7294851237762547
2,1,3,Pr(Infec. | Plac.),0.705,0.6724791425206225,0.7355615182350503
2,1,3,Pr(Infec. | mAb),0.325,0.2934470246949064,0.3582255819770803
2,1,3,Pr(Sympt. | Plac.),0.41375,0.3801131166552957,0.44821123949018354
2,1,3,Pr(Sympt. | mAb),0.11125,0.09129138845499783,0.1349241877949153
2,1,3,Pr(Asympt. | Plac.),0.29125,0.26082359893032964,0.3236715818855402
2,1,3,Pr(Asympt. | mAb),0.21375,0.18674518976163518,0.2434907168661144
2,1,3,"Pr(Sympt. | Infec., Plac.)",0.5868794326241135,0.5457881382962386,0.6267952447549542
2,1,3,"Pr(Sympt. | Infec., mAb)",0.3423076923076923,0.28730489014765653,0.40190240742218075
2,1,3,"Pr(Asympt. | Infec., Plac.)",0.41312056737588654,0.37320475524504587,0.4542118617037613
2,1,3,"Pr(Asympt. | Infec., mAb)",0.6576923076923077,0.5980975925778192,0.7126951098523434
2,1,3,"Pr(N+ | Infec., Plac.)",0.7659574468085106,0.7292873413687568,0.7990291373593844
2,1,3,"Pr(N+ | Infec., mAb)",0.47692307692307695,0.41699058631023167,0.5375275547975493
2,1,3,"Pr(N+ | sympt., Plac.)",0.8277945619335347,0.7834192807647326,0.8646486160968756
2,1,3,"Pr(N+ | sympt., mAb)",0.5955056179775281,0.4916422477269263,0.6914656031830031
2,1,3,"Pr(N+ | asympt., Plac.)",0.6781115879828327,0.6156518552833085,0.7347935456751317
2,1,3,"Pr(N+ | asympt., mAb)",0.4152046783625731,0.3440042740249001,0.4901311753381683
2,1,3,PE for infec.,0.5390070921985815,0.4865314310506129,0.5874324348116963
2,1,3,PE for sympt. infec.,0.7311178247734139,0.6681356824558728,0.7828727543611526
2,1,3,PE for asympt. infec.,0.2660944206008584,0.12951062324099194,0.38184533788720787
2,1,3,RR for sympt. | infec.,0.5832674877992099,0.483538463996273,0.6955331841125134
2,1,3,RR for N+ | infec.,0.6226495726495727,0.5406582630192499,0.7084044188116131
2,1,3,RR for N+ | sympt.,0.7193881735421964,0.590730863653024,0.843471555157134
2,1,3,RR for N+ | asympt.,0.6122955066992375,0.4984190285382332,0.7415197432236349
3,1,3,Pr(Infec. | Plac.),0.71875,0.6866058238180275,0.7488034178419892
3,1,3,Pr(Infec. | mAb),0.3425,0.3104389629075192,0.37606638309726886
3,1,3,Pr(Sympt. | Plac.),0.43625,0.4022706889795867,0.47083861773663715
3,1,3,Pr(Sympt. | mAb),0.1325,0.11075333675293707,0.15775913725823487
3,1,3,Pr(Asympt. | Plac.),0.2825,0.2523989382875689,0.31467987286190024
3,1,3,Pr(Asympt. | mAb),0.21,0.1831948079697225,0.23957694022956963
3,1,3,"Pr(Sympt. | Infec., Plac.)",0.6069565217391304,0.5664509805313664,0.6460424373564861
3,1,3,"Pr(Sympt. | Infec., mAb)",0.38686131386861317,0.331136935870795,0.44571422139291683
3,1,3,"Pr(Asympt. | Infec., Plac.)",0.39304347826086955,0.3539575626435137,0.43354901946863356
3,1,3,"Pr(Asympt. | Infec., mAb)",0.6131386861313869,0.5542857786070833,0.6688630641292052
3,1,3,"Pr(N+ | Infec., Plac.)",0.7391304347826086,0.7017364919128457,0.7733504179990198
3,1,3,"Pr(N+ | Infec., mAb)",0.4781021897810219,0.41966840000241107,0.5371415014034688
3,1,3,"Pr(N+ | sympt., Plac.)",0.8051575931232091,0.7603743260496199,0.8432962310099507
3,1,3,"Pr(N+ | sympt., mAb)",0.5754716981132075,0.4803608851671633,0.6653036041047653
3,1,3,"Pr(N+ | asympt., Plac.)",0.6371681415929203,0.5726729406876194,0.6970782187338319
3,1,3,"Pr(N+ | asympt., mAb)",0.4166666666666667,0.34479424061158126,0.4922648707800635
3,1,3,PE for infec.,0.5234782608695652,0.47139575340300155,0.571772565109855
3,1,3,PE for sympt. infec.,0.6962750716332378,0.6319754856931309,0.7501348728353037
3,1,3,PE for asympt. infec.,0.2566371681415929,0.11594973419308763,0.3755103090325016
3,1,3,RR for sympt. | infec.,0.6373789555141908,0.538824203484561,0.7460695870111232
3,1,3,RR for N+ | infec.,0.6468441391155003,0.5632462320390537,0.7346376441352731
3,1,3,RR for N+ | sympt.,0.7147317531726315,0.5928365609261107,0.8352513705940227
3,1,3,RR for N+ | asympt.,0.6539351851851852,0.5296342679858353,0.7968637054045283
4,1,3,Pr(Infec. | Plac.),0.75375,0.7227299418226262,0.7823447785029933
4,1,3,Pr(Infec. | mAb),0.32,0.28860150272687257,0.3531188927071709
4,1,3,Pr(Sympt. | Plac.),0.45625,0.42202630515858014,0.49089184650941664
4,1,3,Pr(Sympt. | mAb),0.1175,0.09699227852766015,0.14166356176968203
4,1,3,Pr(Asympt. | Plac.),0.2975,0.26684982013382574,0.3300856247294731
4,1,3,Pr(Asympt. | mAb),0.2025,0.17610481586747045,0.23173861547490684
4,1,3,"Pr(Sympt. | Infec., Plac.)",0.6053067993366501,0.5657453521505149,0.6435350095551695
4,1,3,"Pr(Sympt. | Infec., mAb)",0.3671875,0.31050761342411387,0.4277943484390082
4,1,3,"Pr(Asympt. | Infec., Plac.)",0.3946932006633499,0.35646499044483054,0.4342546478494852
4,1,3,"Pr(Asympt. | Infec., mAb)",0.6328125,0.5722056515609918,0.6894923865758861
4,1,3,"Pr(N+ | Infec., Plac.)",0.7893864013266998,0.7550615142948144,0.8200475111798613
